Position,row,col,imagerow,imagecol,index,is_center
63x13,63,13,1679.3131313131314,313.27272727272725,63,0
50x98,50,98,1325.0,2632.0,64,1
50x99,50,99,1325.0,2659.2727272727275,65,0
51x98,51,98,1352.3131313131314,2632.0,66,0
51x99,51,99,1352.3131313131314,2659.2727272727275,67,0
42x76,42,76,1106.0,2032.0,68,1
42x77,42,77,1106.0,2059.2727272727275,69,0
43x76,43,76,1133.3131313131314,2032.0,70,0
43x77,43,77,1133.3131313131314,2059.2727272727275,71,0
56x64,56,64,1489.0,1705.0,72,1
56x65,56,65,1489.0,1732.2727272727273,73,0
57x64,57,64,1516.3131313131314,1705.0,74,0
57x65,57,65,1516.3131313131314,1732.2727272727273,75,0
36x14,36,14,942.0,341.0,76,1
36x15,36,15,942.0,368.27272727272725,77,0
37x14,37,14,969.3131313131313,341.0,78,0
37x15,37,15,969.3131313131313,368.27272727272725,79,0
40x14,40,14,1052.0,341.0,80,1
40x15,40,15,1052.0,368.27272727272725,81,0
41x14,41,14,1079.3131313131314,341.0,82,0
41x15,41,15,1079.3131313131314,368.27272727272725,83,0
66x70,66,70,1762.0,1868.0,84,1
66x71,66,71,1762.0,1895.2727272727273,85,0
67x70,67,70,1789.3131313131314,1868.0,86,0
67x71,67,71,1789.3131313131314,1895.2727272727273,87,0
74x32,74,32,1980.0,832.0,88,1
74x33,74,33,1980.0,859.2727272727273,89,0
75x32,75,32,2007.3131313131314,832.0,90,0
75x33,75,33,2007.3131313131314,859.2727272727273,91,0
14x56,14,56,341.0,1486.0,92,1
14x57,14,57,341.0,1513.2727272727273,93,0
15x56,15,56,368.3131313131313,1486.0,94,0
15x57,15,57,368.3131313131313,1513.2727272727273,95,0
42x86,42,86,1106.0,2305.0,96,1
42x87,42,87,1106.0,2332.2727272727275,97,0
43x86,43,86,1133.3131313131314,2305.0,98,0
43x87,43,87,1133.3131313131314,2332.2727272727275,99,0
64x98,64,98,1707.0,2632.0,100,1
64x99,64,99,1707.0,2659.2727272727275,101,0
65x98,65,98,1734.3131313131314,2632.0,102,0
65x99,65,99,1734.3131313131314,2659.2727272727275,103,0
70x52,70,52,1871.0,1377.0,104,1
70x53,70,53,1871.0,1404.2727272727273,105,0
71x52,71,52,1898.3131313131314,1377.0,106,0
71x53,71,53,1898.3131313131314,1404.2727272727273,107,0
