index,barcode,row,col,imagerow,imagecol,is_center
384,22x18,22,18,1161,941,0
385,24x38,24,38,1270,2032,0
386,28x37,28,37,1489,1977,1
387,14x29,14,29,724,1541,1
388,18x38,18,38,942,2032,0
389,33x23,33,23,1762,1214,0
390,10x35,10,35,505,1868,1
391,41x31,41,31,2199,1650,0
392,6x16,6,16,287,832,0
393,47x11,47,11,2526,559,0
394,31x25,31,25,1652,1323,0
395,35x39,35,39,1871,2086,0
396,10x27,10,27,505,1432,1
397,27x42,27,42,1434,2250,0
398,17x47,17,47,888,2523,0
399,9x18,9,18,451,941,0
400,43x7,43,7,2308,341,0
401,44x14,44,14,2363,723,0
402,19x10,19,10,997,505,0
403,40x19,40,19,2144,995,1
404,24x22,24,22,1270,1159,0
405,8x17,8,17,396,886,1
406,29x20,29,20,1543,1050,0
407,44x41,44,41,2363,2195,1
408,41x26,41,26,2199,1377,0
409,25x6,25,6,1325,286,0
410,4x17,4,17,178,886,1
411,35x23,35,23,1871,1214,0
412,15x43,15,43,778,2305,0
413,32x27,32,27,1707,1432,1
414,37x40,37,40,1980,2141,0
415,36x33,36,33,1926,1759,1
416,11x42,11,42,560,2250,0
417,13x17,13,17,669,886,0
418,12x38,12,38,615,2032,0
419,27x33,27,33,1434,1759,0
420,29x37,29,37,1543,1977,0
421,21x17,21,17,1106,886,0
422,17x49,17,49,888,2632,0
423,38x17,38,17,2035,886,1
424,38x20,38,20,2035,1050,0
425,31x16,31,16,1652,832,0
426,24x25,24,25,1270,1323,1
427,31x4,31,4,1652,177,0
428,22x38,22,38,1161,2032,0
429,29x48,29,48,1543,2577,0
430,2x24,2,24,68,1268,0
431,36x25,36,25,1926,1323,1
432,14x28,14,28,724,1486,0
433,30x46,30,46,1598,2468,0
434,25x43,25,43,1325,2305,0
435,14x15,14,15,724,777,1
436,33x8,33,8,1762,395,0
437,29x28,29,28,1543,1486,0
438,9x49,9,49,451,2632,0
439,23x25,23,25,1215,1323,0
440,39x35,39,35,2089,1868,0
441,11x43,11,43,560,2305,0
442,25x35,25,35,1325,1868,0
443,26x43,26,43,1379,2305,1
444,26x39,26,39,1379,2086,1
445,17x27,17,27,888,1432,0
446,41x29,41,29,2199,1541,0
447,37x5,37,5,1980,232,0
448,47x3,47,3,2526,123,0
449,24x12,24,12,1270,614,0
450,22x15,22,15,1161,777,1
451,42x18,42,18,2253,941,0
452,30x13,30,13,1598,668,1
453,3x32,3,32,123,1705,0
454,22x34,22,34,1161,1814,0
455,26x26,26,26,1379,1377,0
456,37x22,37,22,1980,1159,0
457,46x40,46,40,2472,2141,0
458,26x44,26,44,1379,2359,0
459,15x39,15,39,778,2086,0
460,22x22,22,22,1161,1159,0
461,31x21,31,21,1652,1105,0
462,27x27,27,27,1434,1432,0
463,49x35,49,35,2636,1868,0
464,5x42,5,42,232,2250,0
465,34x14,34,14,1816,723,0
466,24x16,24,16,1270,832,0
467,43x25,43,25,2308,1323,0
468,23x39,23,39,1215,2086,0
469,25x31,25,31,1325,1650,0
470,40x16,40,16,2144,832,0
471,34x43,34,43,1816,2305,1
472,31x13,31,13,1652,668,0
473,29x41,29,41,1543,2195,0
474,36x23,36,23,1926,1214,1
475,14x17,14,17,724,886,1
476,34x11,34,11,1816,559,1
477,43x43,43,43,2308,2305,0
478,3x28,3,28,123,1486,0
479,43x41,43,41,2308,2195,0
480,19x48,19,48,997,2577,0
481,45x20,45,20,2417,1050,0
482,31x8,31,8,1652,395,0
483,27x23,27,23,1434,1214,0
484,18x42,18,42,942,2250,0
485,43x17,43,17,2308,886,0
486,12x20,12,20,615,1050,0
487,20x43,20,43,1052,2305,1
488,41x5,41,5,2199,232,0
489,3x38,3,38,123,2032,0
490,36x17,36,17,1926,886,1
491,47x47,47,47,2526,2523,0
492,35x7,35,7,1871,341,0
493,33x21,33,21,1762,1105,0
494,48x35,48,35,2581,1868,0
495,34x44,34,44,1816,2359,0
496,35x18,35,18,1871,941,0
497,21x29,21,29,1106,1541,0
498,14x45,14,45,724,2414,1
499,8x29,8,29,396,1541,1
500,31x47,31,47,1652,2523,0
