"","TMEM132D","CPNE5","RNA18S5","NMNAT1","ALG5","RNA28S5","RPL13","CCBL1","RPS9","MEIS1.AS1"
"37x27",0,0,8,0,0,1,1,0,0,0
"39x4",0,1,6,0,0,0,1,0,0,0
"13x41",0,0,22,0,0,1,0,0,0,0
"25x45",0,0,4,0,0,0,0,0,1,0
"14x30",0,1,9,1,0,4,1,0,1,0
"26x48",0,0,4,0,0,1,2,0,0,0
"22x16",0,0,0,0,0,0,1,0,0,0
"15x37",1,0,93,2,0,17,8,0,2,1
"14x26",0,0,2,0,0,0,0,0,0,0
"18x37",0,0,19,0,0,3,0,0,0,0
"25x26",0,0,20,0,0,8,0,0,0,0
"31x31",0,0,416,0,0,40,26,0,12,0
"9x27",0,0,3,0,0,0,1,0,0,0
"39x18",0,0,1,0,0,2,0,0,0,0
"30x28",0,0,48,0,0,8,1,0,8,0
"3x26",0,0,3,0,0,1,0,0,0,0
"38x12",1,0,5,0,0,0,0,0,0,0
"36x41",0,0,43,0,0,1,1,0,0,0
"11x47",0,0,3,0,0,0,0,0,0,0
"6x41",0,0,18,0,0,2,1,0,0,0
"33x12",0,0,6,0,0,1,0,0,0,0
"25x27",0,0,22,0,0,4,1,0,1,0
"49x3",0,0,15,1,0,2,0,0,0,0
"44x40",0,0,11,2,0,1,0,0,0,0
"41x38",1,0,55,0,0,5,0,0,1,0
"20x40",0,0,61,1,0,11,3,0,1,0
"14x43",0,0,2,0,1,0,0,0,0,0
"37x35",0,0,254,0,0,18,3,0,1,0
"37x8",1,0,9,3,0,2,0,0,0,0
"26x40",3,0,106,0,0,12,1,0,3,0
"9x36",0,0,11,0,0,4,0,0,0,0
"12x27",0,0,1,0,0,2,0,0,0,0
"30x16",0,0,3,0,0,2,0,0,0,0
"25x41",0,2,344,0,0,30,1,0,5,0
"26x7",4,2,4,1,1,0,0,0,0,0
"20x25",0,0,1,1,0,2,0,0,0,0
"2x31",0,1,21,0,0,2,0,0,0,0
"34x36",1,0,230,0,0,49,0,0,2,0
"11x48",0,0,2,0,0,0,0,0,0,0
"27x14",0,0,7,2,0,1,0,1,1,0
"11x46",0,1,8,0,0,5,1,0,1,0
"8x25",0,0,5,0,0,0,0,0,0,0
"33x17",0,0,1,1,0,1,0,0,0,0
"20x26",0,0,3,0,0,0,0,0,0,0
"41x9",0,1,0,1,0,0,0,1,0,0
"33x4",2,0,3,0,0,1,0,0,0,0
"14x44",0,0,4,0,0,0,0,0,1,0
"16x41",0,0,23,0,0,1,1,0,1,0
"32x47",0,0,1,0,0,0,1,0,0,0
"27x32",0,0,43,0,0,4,0,0,2,0
"22x36",0,0,13,0,0,5,0,0,0,0
"7x21",0,0,1,1,1,0,0,0,0,0
"5x35",0,0,25,0,0,7,2,0,1,0
"6x25",0,0,5,0,0,5,0,0,0,0
"16x45",0,0,2,0,0,0,0,0,0,0
"41x4",0,0,14,0,0,2,0,0,0,0
"36x13",0,0,5,1,0,2,0,0,0,0
"17x14",1,0,6,0,0,0,0,0,0,0
"17x48",0,1,6,0,0,4,1,0,0,0
"11x16",1,0,4,0,0,1,0,1,0,0
"6x26",0,0,1,0,0,0,0,0,0,0
"39x13",0,0,3,0,0,1,0,0,0,0
"16x13",1,0,4,0,0,0,0,0,0,0
"32x22",0,0,3,1,1,0,1,0,0,0
"21x42",0,0,35,0,0,6,0,0,1,0
"14x18",0,0,0,0,0,0,0,0,0,0
"2x23",1,0,9,0,0,2,0,0,0,0
"40x35",0,0,13,0,0,10,0,0,0,0
"34x12",1,0,5,0,0,0,0,1,0,0
"48x6",0,0,2,0,1,0,0,0,0,0
"39x8",0,0,1,0,0,0,1,0,0,0
"49x4",0,0,34,0,0,3,1,0,0,0
"32x24",0,0,10,0,0,3,2,0,0,0
"39x37",0,0,28,0,0,4,1,0,0,0
"46x39",0,0,0,0,0,0,1,0,0,0
"26x35",0,0,90,2,0,9,11,0,11,0
"43x31",0,0,9,0,0,2,0,0,1,0
"32x6",4,0,5,0,0,0,2,0,0,0
"9x37",0,0,5,0,0,2,3,0,0,0
"3x37",0,0,7,0,0,4,0,0,1,0
"15x47",1,0,16,1,0,1,2,0,1,0
"35x22",0,0,6,0,0,0,0,0,0,0
"19x40",0,0,227,0,1,21,13,0,1,0
"35x29",0,0,10,0,0,1,1,0,0,0
"7x25",0,0,16,0,0,1,3,0,0,0
"29x35",0,0,119,0,0,14,4,0,3,0
"22x45",0,0,1,0,0,0,0,0,0,0
